"By administrative divisions",2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023,2023
"By administrative divisions",Total population,Total population,Total population,Total population,Total population,Total population,Korean,Korean,Korean,Korean,Korean,Korean
"By administrative divisions",Dependency ratio(Total),Dependency ratio(Child),Dependency ratio(Aged),Aging Index,Median age (years),Mean age (years),Dependency ratio(Total),Dependency ratio(Child),Dependency ratio(Aged),Aging Index,Median age (years),Mean age (years)
"Busan",47.5,14.5,33.0,227.7,48.3,46.4,48.6,14.8,33.8,228.1,48.8,46.6
"Jung-gu",49.8,6.0,43.8,733.2,52.8,50.5,55.1,6.6,48.6,740.5,54.6,51.7
"Seo-gu",54.7,12.1,42.5,350.3,51.7,49.0,56.8,12.6,44.2,351.1,52.4,49.4
"Dong-gu",54.8,10.9,43.9,403.0,52.2,49.9,56.5,11.1,45.4,408.0,52.7,50.2
"Yeongdo-gu",58.0,10.7,47.2,439.7,53.6,50.2,60.1,11.1,49.0,442.6,54.3,50.6
"Busanjin-gu",43.9,12.4,31.5,254.3,46.9,46.0,44.4,12.5,31.8,254.3,47.1,46.1
"Dongnae-gu",50.1,17.5,32.6,186.2,47.7,45.8,50.4,17.6,32.8,186.2,47.8,45.9
"Nam-gu",46.6,13.9,32.7,235.8,47.5,45.8,48.6,14.4,34.2,236.5,48.4,46.2
"Buk-gu",45.5,14.1,31.4,222.5,49.9,46.8,46.0,14.3,31.8,222.4,50.2,47.0
"Haeundae-gu",46.7,15.8,30.9,195.8,48.8,46.2,47.3,16.0,31.3,196.4,49.0,46.3
"Saha-gu",46.9,13.2,33.7,254.2,49.7,47.1,48.1,13.6,34.5,254.8,50.1,47.3
"Geumjeong-gu",47.0,11.4,35.6,312.5,49.8,47.2,48.6,11.7,36.9,314.3,50.4,47.6
"Gangseo-gu",45.7,26.9,18.9,70.3,40.5,39.6,49.1,28.8,20.3,70.3,41.0,39.8
"Yeonje-gu",48.8,14.7,34.1,232.3,48.6,46.7,49.1,14.8,34.3,232.3,48.7,46.7
"Suyeong-gu",49.6,12.5,37.1,297.5,49.1,47.6,50.2,12.6,37.6,298.4,49.3,47.7
"Sasang-gu",42.0,11.0,31.0,282.1,49.7,47.0,43.8,11.4,32.4,283.4,50.6,47.4
"Gijang-gun",49.3,22.2,27.2,122.6,44.4,43.3,50.5,22.7,27.8,122.7,44.6,43.4
